Instance,Income
111994,38379.90077793325
111995,5854.592228536565
111996,40427.75092461938
111997,149430.66334981346
111998,20098.53826786487
111999,86406.0672253695
112000,89543.73776557716
112001,84788.40408194091
112002,32212.891035447374
112003,153880.57597261676
112004,-1308.6838989727594
112005,131168.51925804038
112006,13029.567395226513
112007,97599.0369831908
112008,265323.20277221856
112009,77737.05059557811
112010,39125.418610399625
112011,32116.382073125416
112012,19598.76606552822
112013,25657.145149610616
112014,157453.84111361933
112015,38073.40108903968
112016,46891.06012373268
112017,17107.98896313037
112018,197468.5623282578
112019,42339.78003588591
112020,32134.078260018505
112021,23669.125442209996
112022,98965.68158046773
112023,62088.13658210321
112024,16244.348002952713
112025,107129.7873206272
112026,38037.557276299114
112027,74488.12778419814
112028,30350.579330302113
112029,50830.38459744941
112030,159221.791726197
112031,238433.28618318107
112032,222135.1941043145
112033,88029.28188345623
112034,301582.864277845
112035,82844.08765871209
112036,202774.85567157602
112037,127441.13291273073
112038,188846.80396880308
112039,45270.50414322685
112040,66319.19898697037
112041,64405.58985937855
112042,48552.61380348085
112043,68336.5336719095
112044,42555.050684176524
112045,20036.592022294924
112046,317238.5852365124
112047,34651.73833708123
112048,20273.78402694524
112049,98550.55853413229
112050,49898.45398739081
112051,93584.47591785976
112052,114642.38277155648
112053,234376.51208866964
112054,73997.23184236097
112055,29631.632523843513
112056,83469.78095428283
112057,12246.324125071704
112058,50454.6117501747
112059,34502.86591148244
112060,352726.5666866434
112061,173412.81691498126
112062,178628.98997463772
112063,68076.65962916362
112064,16300.433536546734
112065,65006.14078457075
112066,18491.430967275115
112067,124081.71562618781
112068,64888.56089282292
112069,246781.51723706862
112070,499275.19536223635
112071,50578.214439430274
112072,71918.93629157939
112073,24319.868404983226
112074,22783.553812737162
112075,7605.859824042115
112076,116825.88932014401
112077,1003728.3673024548
112078,2497.5992401225785
112079,124917.51340652925
112080,99562.1147872072
112081,802197.2302162644
112082,45339.46750416253
112083,36314.63002922062
112084,17795.36781001947
112085,48427.10442965256
112086,27746.137503949758
112087,51595.59685306338
112088,130556.89409432602
112089,67930.37956870066
112090,195869.47815165314
112091,47138.48265706347
112092,36424.350119460214
112093,93281.76147309646
112094,38752.23652849952
112095,43780.60189577862
112096,112407.49313330378
112097,30037.765032570347
112098,25008.69883957608
112099,37035.58465930416
112100,59964.90848187487
112101,149658.23356005762
112102,26537.847886208783
112103,139728.44527156596
112104,75006.37549193001
112105,53397.53354548549
112106,103582.48579202431
112107,97138.89956606917
112108,52887.72825523246
112109,28381.523667300662
112110,52168.01178254684
112111,34930.60666561656
112112,72520.80075918323
112113,75240.22106242721
112114,71824.26609038447
112115,17341.880167110816
112116,37529.264399450454
112117,73550.56656942036
112118,35148.56478820705
112119,43844.2408389039
112120,441896.30207882414
112121,135797.25950866466
112122,607011.0017013117
112123,250967.70190825002
112124,53571.78463449556
112125,165176.28364691386
112126,150707.14272996903
112127,16985.00423201507
112128,42987.700551042406
112129,122066.59398314838
112130,98961.31611955875
112131,40343.565219356926
112132,87024.23222501896
112133,259055.55600261487
112134,26358.772173384797
112135,12511.726951495002
112136,65546.04566363191
112137,5442.754871685655
112138,31667.466021311473
112139,54930.793848936766
112140,47163.5579966992
112141,42280.54459399781
112142,72269.98464371648
112143,209670.99735389132
112144,28489.11537781457
112145,41913.40053371883
112146,49436.29847816012
112147,240178.9149511103
112148,47078.319700288426
112149,77901.62286138975
112150,-1061.7321960481697
112151,323226.9137674841
112152,73816.11305345701
112153,51867.61571498247
112154,40688.20051127703
112155,91811.07464952173
112156,89472.81870113824
112157,106289.02224767806
112158,51151.73743401969
112159,257736.40220066116
112160,50318.777653415396
112161,174807.18276805035
112162,109155.35480343357
112163,28302.892705472586
112164,33338.32624377643
112165,130103.80580492584
112166,55826.14009271057
112167,25240.45468757187
112168,48410.99808687639
112169,237635.2529491058
112170,212446.43742546992
112171,42670.20370279039
112172,25000.46183092425
112173,116917.54229370198
112174,29933.50584204409
112175,29806.075672485993
112176,27148.115263342064
112177,119709.13902120988
112178,19103.776054854803
112179,28216.451223603155
112180,37094.167578365385
112181,12750.715723512387
112182,245743.09056333796
112183,114679.99631733901
112184,22126.19119086482
112185,274067.7064966212
112186,8380.496159700177
112187,145271.69961439693
112188,229833.30632933768
112189,43460.84276297938
112190,36490.29751513806
112191,96509.6096191194
112192,350868.8291393428
112193,41841.81120057275
112194,175036.32204988154
112195,41971.32226382341
112196,24034.887349412296
112197,210515.75942159773
112198,39994.88621593819
112199,41650.724544972996
112200,63076.02530827933
112201,293886.18626479123
112202,137698.39200524296
